nome;genero
The Valentines (rock band);{Pop music|Rock music}
The Valentino Orchestra;NULL
The Valentinos;{Rhythm and blues|Soul music|Doo-wop|Gospel music}
The Valerie Project;Psychedelic folk
The Valley (band);{Alternative rock|Post-hardcore}
The Vals;{Folk music|Psychedelic rock|Pop music|Rock music}
The Valves;Punk rock
The Vamps (Australian band);Pop rock
The Vamps (British band);Pop rock
The Van Pelt;{Emo|Indie rock|Post-hardcore}
The Vandals;{Punk rock|Hardcore punk|Pop punk|Ska punk|Skate punk|Melodic hardcore}
The Vanity Plan;{Rock and roll|Alternative rock|Alternative metal}
The Vanity Set;Independent music
The Vapors;{New wave music|Power pop}
The Varukers;{Hardcore punk|D-beat|Crossover thrash|Street punk}
The Vasco Era;{Blues|Rock music}
The Vaselines;{Indie rock|Alternative rock|Indie pop}
The Veer Union;{Hard rock|Post-grunge}
The Veggie Pimps;{Indie rock|Low fidelity}
The Vehicle Birth;NULL
The Veils;{Indie rock|Alternative rock}
The Velmas;{Rock music|Alternative rock|Independent music}
The Velours;{Pop music|Doo-wop}
The Vels;New wave music
The Velvelettes;{Pop music|Rhythm and blues|Soul music}
The Velvet Teen;{Indie rock|Alternative rock|Noise rock|Baroque pop}
The Velvet Underground;{Art rock|Proto-punk|Experimental rock|Avant-garde music}
The Velveteins;Indie_Rock
The Velvetones;Doo-wop
The Velvets;Doo-wop
The Venetia Fair;NULL
The Venetians (Australian band);{New wave music|Synthpop}
The Ventures;{Instrumental rock|Surf music}
The Verlaines;Rock music
The Vermicious Knid;{Indie rock|Post-hardcore}
The Vermin;Punk rock
The Vernons;Blues rock
The Veronicas;{Pop music|Alternative rock}
The Verses;Folk music
The Verve;{Psychedelic rock|Britpop|Alternative rock|Shoegazing|Dream pop|Space rock}
The Verve Pipe;{Alternative rock|Post-grunge}
The Very Best;{Folk music|Pop music|Jazz fusion|Hip hop music|Jazz|Dance music|Afro pop music|Music of Malawi}
The Very Hush Hush;{Rock music|Electronica|Shoegazing|Independent music}
The Very Things;Post-punk
The Vespers;{Folk music|American folk music|Americana (music)}
The Vibrants;Pop rock
The Vibrators;Punk rock
The Viceroys;{Reggae|Rocksteady}
The Victims (Australian band);Punk rock
The Victorian English Gentlemens Club;Indie rock
The Vietnam Veterans;Psychedelic rock
The View (band);{Indie rock|Garage rock|Alternative rock|Indie pop|Celtic rock|Post-punk revival}
The Vikings (band);NULL
The Village Green (band);Indie rock
The Villas (band);{Indie rock|Alternative rock}
The Vincent Black Shadow;{Alternative rock|Pop rock}
The Vindictives;Punk rock
The Vine Band;{Contemporary Christian music|Gospel music|Contemporary worship music}
The Vines (band);{Psychedelic rock|Grunge|Indie rock|Garage rock|Alternative rock|Post-punk revival}
The Vintage Caravan;{Psychedelic rock|Progressive rock|Hard rock|Blues rock|Stoner rock}
The Vinyl Records;{Indie rock|Post-punk}
The Violet Archers;Indie pop
The Violet Burning;{Alternative rock|Musical ensemble}
The Violet Lights;{Britpop|Indie rock|Garage rock}
The Violets;{Indie rock|Post-punk revival}
The Virgin Wolves;{Rock music|Alternative rock|Blues rock}
The Virginia Belles;A cappella
The Virginmarys;{Punk rock|Rock music|Grunge|Hard rock|Alternative rock}
The Virgins;{New wave music|Rock music|Dance-punk|Post-punk}
The Virus (band);{Punk rock|Street punk}
The Viscounts (British band);NULL
The Visible Men;{Power pop|Jazz fusion|Pop rock|Baroque pop}
The Vision Bleak;{Doom metal|Horror punk|Symphonic metal|Gothic metal|Dark metal}
The Visitors (American band);{Indie rock|Power pop}
The Visitors (Australian band);{Punk rock|Indie rock|Garage rock|Alternative rock|Proto-punk}
The Vogue;Experimental rock
The Vogues;{Rock and roll|Traditional pop music|Blue-eyed soul}
The Voices of East Harlem;{Rhythm and blues|Soul music}
The Von Bondies;{Indie rock|Garage rock|Alternative rock|Punk blues|Post-punk revival}
The Voodoo Jets;{Alternative rock|Power pop}
The Voom Blooms;Indie rock
The Vox Jaguars;{Indie rock|Garage rock|Alternative rock|Neo-psychedelia|Garage punk}
The Vulcan Dub Squad;Indie rock
The Vultures;Alternative rock
The W's;{Swing music|Swing revival|Christian ska}
The Waboritas;Hard rock
The Waco Brothers;Alternative country
The Wades;Gospel music
The Wagoneers;Country music
The Wah Wah Collective;{Neo soul|Nu jazz|Contemporary R&B|Hip hop music|Alternative dance}
The Waifs;Folk rock
The Waikikis;Surf music
The Wailers Band;Reggae
The Wailin' Jennys;{Folk music|Bluegrass music}
The Wailing Souls;{Reggae|Rocksteady}
The Wainwright Sisters;{Folk music|Pop rock}
The Waiting (band);Pop rock
The Waitresses;New wave music
The Wake (UK band);{Gothic rock|Indie pop|Post-punk}
The Wake (US band);Gothic rock
The Wakes;{Folk rock|Folk punk|Tradition}
The Waking Eyes;Rock music
The Walk (band);Alternative rock
The Walk Ons;{Indie rock|Alternative rock|Post-punk}
The Walkabouts;{Indie rock|Alternative rock|Folk rock|Alternative country|Slowcore|Baroque pop}
The Walker Brothers;Pop music
The Walkers (Danish band);Glam rock
The Walkmen;{Indie rock|Post-punk revival}
The Wall (band);Punk rock
The Wallets;Post-punk
The Wallflowers;{Rock music|Roots rock}
