2-step garage;{Drum machine|Music sequencer|Synthesizer|Personal computer|Sampler (musical instrument)|Turntablism};{Drum and bass|House music|Contemporary R&B|UK garage}
2 Tone (music genre);{Bass guitar|Drum kit|Guitar|Saxophone|Trombone|Trumpet|Keyboard instrument};{New wave music|Punk rock|Reggae|Ska|Rocksteady}
4-beat;{Drum machine|Keyboard instrument|Music sequencer|Synthesizer|Sampler (musical instrument)};{Breakbeat hardcore|Italo house}
A cappella;{Singing|Vocal percussion|Beatboxing|Live looping};{Gregorian chant|Madrigal|Church music}
Aak;NULL;NULL
Abecedarian hymn;NULL;NULL
Abwe;NULL;NULL
Acid house;NULL;{House music|Chicago house}
Acid jazz;{Bass guitar|Clarinet|Drum kit|Flute|Piano|Saxophone|Trombone|Trumpet|String instrument|Organ (music)|Synthesizer|Electric guitar|Direct-drive turntable};{Disco|Funk|Soul music|Jazz}
Acid rock;NULL;Psychedelic rock
Acid techno;{Roland TB-303|Drum machine|Music sequencer|Roland TR-808|Synthesizer|Roland TR-909};{Industrial music|Acid house|Techno}
Acid trance;{Roland TB-303|Drum machine|Keyboard instrument|Music sequencer|Roland TR-808|Synthesizer};{Trance music|Acid house}
Adult standards;NULL;Rock music
Afoxê;NULL;NULL
African blues;{Calabash|Guitar|Kora (instrument)|Djembe|Balafon|Ngoni (instrument)};{Blues|Music of Africa|Music of West Africa}
African heavy metal;{Bass guitar|Drum kit|Singing|Electric guitar};Heavy metal music
African reggae;NULL;NULL
Afro-Caribbean music;NULL;NULL
Afro-Cuban jazz;Piano;Son (music)
Afro-Peruvian music;NULL;NULL
Afro-rock;NULL;NULL
Afro-soul;{Drum kit|Guitar|Human voice|Vocal harmony};{Folk music|Reggae|Soul music|Jazz}
Afro/Cosmic music;{Drum kit|Percussion instrument|Synthesizer};{Disco|Funk|Jazz fusion|Electro (music)|Italo disco|Music of Africa|Music of Brazil|Dance music}
Afro (genre);NULL;{Santería|Cuban musical theatre|Palo (religion)}
Afro pop music;NULL;NULL
Afrobeat;{Bass guitar|Drum kit|Guitar|Percussion instrument|Saxophone|Keyboard instrument|Singing|Shekere|Conga|Horn section};{Funk|Highlife|Jazz|Yoruba music}
Ahwash;Drum;NULL
Aita (Morocco);Drum;Arabic music
Ajisari;NULL;NULL
Alboreá;NULL;NULL
Alegrías;NULL;NULL
