2-step garage;NULL
2 Tone (music genre);NULL
4-beat;NULL
A cappella;{Barbershop music,Collegiate a cappella,Puirt à beul}
Aak;NULL
Abecedarian hymn;NULL
Abwe;NULL
Acid house;NULL
Acid jazz;NULL
Acid rock;NULL
Acid techno;NULL
Acid trance;NULL
Adult standards;NULL
Afoxê;NULL
African blues;NULL
African heavy metal;NULL
African reggae;NULL
Afro-Caribbean music;NULL
Afro-Cuban jazz;NULL
Afro-Peruvian music;NULL
Afro-rock;NULL
Afro-soul;NULL
Afro/Cosmic music;NULL
Afro (genre);NULL
Afro pop music;NULL
Afrobeat;NULL
Ahwash;Gnawa
Aita (Morocco);NULL
Ajisari;NULL
Alboreá;NULL
Alegrías;NULL
Alta cappella;NULL
Alternative R&B;NULL
Alternative country;NULL
Alternative dance;Electroclash
Alternative hip hop;{Jazz rap,Nerdcore,Hipster hop}
Alternative metal;{Nu metal,Funk metal,Rap metal}
Alternative reggaeton;NULL
Alternative rock;{Christian alternative rock,Britpop,Grunge,Post-rock,Gothic rock,Indie rock,Shoegazing,Dream pop,Math rock,College rock,Jangle pop,Noise rock,Noise pop,Paisley Underground,Indie pop,Post-grunge,Neo-psychedelia,Nu gaze,Post-britpop,Geek rock}
Ambient house;NULL
Ambient industrial;NULL
Ambient music;Dark ambient
Anarcho-punk;NULL
Anatolian rock;NULL
Andean new age music;NULL
Anti-folk;NULL
Apala;NULL
Arabesque (Turkish music);NULL
Arabesque (classical music);NULL
Arabic pop music;{Contemporary R&B,Al Jeel}
Armenian folk music;NULL
Armenian rock;NULL
Art pop;NULL
Art punk;NULL
Art rock;NULL
Ashiqs of Azerbaijan;NULL
Asian-American jazz;NULL
Athabaskan fiddle;NULL
Atlanta blues;NULL
Australian hip hop;NULL
Austropop;NULL
Avant-garde jazz;NULL
Avant-garde metal;NULL
Avant-prog;NULL
BMG movement;NULL
Bachata (music);Bachatón
Bachatón;NULL
Bagad;NULL
Baggy;NULL
Bailatronic;NULL
Baisha xiyue;NULL
Baithak Gana;NULL
Bakersfield sound;NULL
Balearic beat;NULL
Balearic trance;NULL
Balkan brass music;NULL
Balkan jazz;NULL
Ballata;NULL
Baltimore club;NULL
Balwo;NULL
Bambuco;NULL
Banda Sinfónica;NULL
Bandana thrash;NULL
Bandish;NULL
Banjo music;NULL
Bantowbol;NULL
Barbershop music;NULL
Bard (Soviet Union);NULL
Baroque pop;NULL
Bass music;NULL
Bassline (music genre);NULL
Batá-rumba;NULL
Beat music;Freakbeat
Bebop;{Hard bop,List of jazz genres}
Bend-skin;NULL
Benga music;NULL
Benna (genre);NULL
Bereznianka;NULL
Bergamask;NULL
Berlin School of electronic music;NULL
Beste (Turkish music);NULL
Bhangra (music);NULL
Bhatiali;NULL
Bhavageete;NULL
Big band;NULL
Big beat;NULL
Biguine;NULL
Bikutsi;NULL
BisRock;NULL
Bitpop;NULL
Black metal;{Black metal,Symphonic black metal}
Blackgaze;NULL
Blue-eyed soul;NULL
Bluegrass music;Progressive bluegrass
Blues;{Boogie-woogie,Delta blues,Country blues,Jump blues,Piano blues,Electric blues,Classic female blues,Fife and drum blues}
Blues rock;NULL
Bocet;NULL
Boedra;NULL
Boeremusiek;NULL
Boi (music);NULL
Bolel;NULL
Boleras;NULL
Bolero;NULL
Bomba (Ecuador);NULL
Bomba (Puerto Rico);NULL
Bongo Flava;NULL
Boogaloo;NULL
Boogie-woogie;NULL
Boogie (genre);Electro (music)
Boogie rock;NULL
Boomba music;NULL
Borgeet;NULL
Bosnian rock;NULL
Bossa nova;Tropicália
Bothy band;NULL
Bounce music;NULL
Bouncy techno;NULL
Bouyon music;NULL
Bouyon soca;NULL
Boy band;NULL
Bozlak;NULL
Brazilian rock;Brazilian thrash metal
Breakbeat;{Breakbeat,Breakcore,Broken beat,Progressive house,Nu-funk,Big beat,Nu skool breaks}
Breakbeat hardcore;NULL
Breakcore;NULL
Breakstep;NULL
Brisbane punk rock;NULL
Brit funk;NULL
British blues;NULL
British hip hop;Oldschool jungle
British rock and roll;NULL
Britpop;New wave of new wave
Bro-country;NULL
Broder singer;NULL
Broken beat;NULL
Brown-eyed soul;NULL
Brukdown;NULL
Bubblegum dance;NULL
Bubblegum pop;NULL
Buddhist music;NULL
Bullerengue;NULL
Burban;NULL
Bélé;NULL
Ca din tulnic;NULL
Cadence-lypso;NULL
Cadence rampa;NULL
Café-chantant;NULL
Cajun fiddle;NULL
Cajun music;NULL
Cakewalk;NULL
California Sound;NULL
Calypso music;Oratorical_calypso
Canadian blues;NULL
Canadian country music;NULL
Canción;NULL
Candombe;CandombE_beat
Cante Alentejano;NULL
Cante jondo;NULL
Canterbury scene;NULL
Cantes a palo seco;NULL
Cantiñas;NULL
Cantu a chiterra;NULL
Cape jazz;NULL
Caporales;NULL
Capriccio (music);NULL
Car song;NULL
Cartageneras;NULL
Cavalier song;NULL
Celempungan;NULL
Cello rock;NULL
Celtic fusion;{Celtic metal,Celtic rock,Celtic fusion,Celtic punk}
Celtic metal;NULL
Celtic punk;NULL
Celtic rock;NULL
Ceol Meadhonach;NULL
Ceòl Beag;NULL
Chaiti;NULL
Chalga;NULL
Chamamé;NULL
Chamber jazz;NULL
Champeta;NULL
Chamrieng Samai;NULL
Changa tuki;NULL
Chanson pour boire;NULL
Chanté mas;NULL
Chaoui music;NULL
Charanga-vallenata;NULL
Chicago blues;Electric blues
Chicago hardcore;NULL
Chicago house;NULL
Chicago soul;NULL
Children's music;NULL
Chilena (musical genre);NULL
Chill-out music;NULL
Chillwave;NULL
Chimurenga music;NULL
Chinese ambient music;NULL
Chiptune;Bitpop
ChopNotSlop;Chopped and screwed
Chopped and screwed;NULL
Chopper (rap);NULL
Chorale motet;NULL
Chouval bwa;NULL
Chrieng Brunh;NULL
Christian R&B;NULL
Christian alternative rock;NULL
Christian country music;Bluegrass music
Christian electronic dance music;NULL
Christian hardcore;NULL
Christian hip hop;NULL
Christian metal;NULL
Christian punk;Christian hardcore
Christian rock;{Christian alternative rock,Christian metal,Christian punk,Christian hardcore}
Christian ska;NULL
Chromatic fantasia;NULL
Chumak (dance);NULL
Chumba;NULL
Chut-kai-pang;NULL
Chutney Soca;NULL
Chutney music;NULL
Chầu văn;NULL
Circus music;NULL
Classic female blues;NULL
Cloud rap;NULL
Cold wave (music);NULL
College rock;NULL
Combined rhythm;NULL
Comedy hip hop;NULL
Comedy music;{Novelty song,Parody music}
Comedy rock;NULL
Comic song;NULL
Compas;NULL
Concert march;NULL
Concerted madrigal;NULL
Conga (music);NULL
Congolese rumba;NULL
Consort song (musical);NULL
Contemporary Christian music;{Christian rock,Christian hip hop,Contemporary worship music}
Contemporary R&B;NULL
Contemporary folk music;{Bluegrass music,Progressive folk,Nerd-folk,American Primitive Guitar}
Contemporary worship music;NULL
Cool jazz;NULL
Country and Irish;NULL
Country blues;{Delta blues,Louisiana blues,Piedmont blues}
Country folk;NULL
Country music;{Bluegrass music,Nashville sound,Outlaw country,Western swing,Progressive country,Neotraditional country,Red Dirt (music),Texas country music,Bakersfield sound,Bro-country,Close and open harmony,Honky-tonk,Jug band}
Country pop;NULL
Country rap;NULL
Country rock;NULL
Coupé-Décalé;NULL
Cowpunk;NULL
Crossover jazz;NULL
Crossover thrash;NULL
Crunk;{Snap music,Trap music}
Crunkcore;NULL
Crust punk;NULL
Cuban rumba;{Batá-rumba,Guaguancó}
Cumbia;{Peruvian cumbia,CumbiA villera,Tecnocumbia}
Cumbia rap;NULL
Cyber metal;NULL
D-beat;NULL
Daechwita;NULL
Dance-pop;NULL
Dance-punk;NULL
Dance-rock;NULL
Dancehall;Ragga
Dansband;NULL
Dark ambient;NULL
Dark cabaret;NULL
Dark metal;NULL
Dark rock;NULL
Dark wave;{Gothic rock,Neoclassical dark wave,Neofolk,Ethereal wave,Cold wave (music),Neue Deutsche Todeskunst}
Darkcore;Darkstep
Darkstep;NULL
De dragoste;NULL
Death-doom;NULL
Death 'n' roll;NULL
Death metal;{Melodic death metal,Technical death metal}
Deathcore;NULL
Deathgrind;NULL
